"gene","PSOL_PASI_age_sex","ADL_pEASI_age_sex","AD_pEASI_age_sex","PSO_PASI_age_sex","Missing value count","Min"
"ENSG00000132128","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000134490","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000148335","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000162129","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000164933","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000167549","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000170044","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000241015","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000254440","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000260855","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000280119","0.0329005147644032",,,,3,"0.0329005147644032"
"ENSG00000224598","0.0329048177248594",,,,3,"0.0329048177248594"
"ENSG00000134258","0.0330207335377733",,,,3,"0.0330207335377733"
"ENSG00000204272","0.0330207335377733",,,,3,"0.0330207335377733"
"ENSG00000110074",,"0.0330501600228982",,,3,"0.0330501600228982"
"ENSG00000149506",,"0.0330501600228982",,,3,"0.0330501600228982"
"ENSG00000236056",,"0.0330501600228982",,,3,"0.0330501600228982"
"ENSG00000239701","0.0330502258536765",,,,3,"0.0330502258536765"
"ENSG00000108622",,,"0.0331396187362699",,3,"0.0331396187362699"
"ENSG00000125726",,,"0.0331396187362699",,3,"0.0331396187362699"
"ENSG00000197057",,,"0.0331396187362699",,3,"0.0331396187362699"
"ENSG00000213366",,,"0.0331396187362699",,3,"0.0331396187362699"
"ENSG00000224712",,,"0.0331396187362699",,3,"0.0331396187362699"
"ENSG00000163584","0.0331761347705015",,,,3,"0.0331761347705015"
"ENSG00000272807","0.0331761347705015",,,,3,"0.0331761347705015"
"ENSG00000170465",,"0.0331849675451686",,,3,"0.0331849675451686"
"ENSG00000084733","0.0331888707915686",,,,3,"0.0331888707915686"
"ENSG00000125630","0.0332966256585119",,,,3,"0.0332966256585119"
"ENSG00000047936",,"0.0333288597508937",,,3,"0.0333288597508937"
"ENSG00000181467",,"0.0333288597508937",,,3,"0.0333288597508937"
"ENSG00000243069",,"0.0333288597508937",,,3,"0.0333288597508937"
"ENSG00000067182",,"0.0333645771957979",,,3,"0.0333645771957979"
"ENSG00000118515",,"0.0333645771957979",,,3,"0.0333645771957979"
"ENSG00000152558",,"0.0333645771957979",,,3,"0.0333645771957979"
"ENSG00000162040",,"0.0333645771957979",,,3,"0.0333645771957979"
"ENSG00000205250",,"0.0333645771957979",,,3,"0.0333645771957979"
"ENSG00000077380","0.0333730487743857",,,,3,"0.0333730487743857"
"ENSG00000240002","0.0333730487743857",,,,3,"0.0333730487743857"
"ENSG00000240065","0.0333730487743857",,,,3,"0.0333730487743857"
"ENSG00000287650","0.0333730487743857",,,,3,"0.0333730487743857"
"ENSG00000151929",,"0.0333749500906213",,,3,"0.0333749500906213"
"ENSG00000166387",,"0.0334397232255064",,,3,"0.0334397232255064"
"ENSG00000101493",,"0.0334834662293724",,,3,"0.0334834662293724"
"ENSG00000177943",,"0.0334834662293724",,,3,"0.0334834662293724"
"ENSG00000163564",,,"0.0336399341482418",,3,"0.0336399341482418"
"ENSG00000166289",,,"0.0336399341482418",,3,"0.0336399341482418"
"ENSG00000224383",,,"0.0336399341482418",,3,"0.0336399341482418"
"ENSG00000198590","0.0336603341118434",,,,3,"0.0336603341118434"
"ENSG00000164967","0.0336946266618206",,,,3,"0.0336946266618206"
"ENSG00000141543","0.0337054352555394",,,,3,"0.0337054352555394"
"ENSG00000165799","0.0337054352555394",,,,3,"0.0337054352555394"
"ENSG00000124713","0.0337866754552232",,,,3,"0.0337866754552232"
"ENSG00000158008","0.0337866754552232",,,,3,"0.0337866754552232"
"ENSG00000157985",,,"0.00338067146324507",,3,"0.00338067146324507"
"ENSG00000184992",,,"0.00338067146324507",,3,"0.00338067146324507"
"ENSG00000180398",,"0.0338775533307553",,,3,"0.0338775533307553"
"ENSG00000243197",,"0.0338775533307553",,,3,"0.0338775533307553"
"ENSG00000171425","0.0338894815924997",,,,3,"0.0338894815924997"
"ENSG00000151715","0.00339177290558384",,,,3,"0.00339177290558384"
"ENSG00000231233","0.0339293716610233",,,,3,"0.0339293716610233"
"ENSG00000154122",,"0.0340757051079418",,,3,"0.0340757051079418"
"ENSG00000177469",,,"0.00342214751339317",,3,"0.00342214751339317"
"ENSG00000197506",,"0.0342361116645157",,,3,"0.0342361116645157"
"ENSG00000111335","0.0342932546021213",,,,3,"0.0342932546021213"
"ENSG00000089639",,"0.0343613357075376",,,3,"0.0343613357075376"
"ENSG00000172382",,"0.0343613357075376",,,3,"0.0343613357075376"
"ENSG00000173120",,"0.0343613357075376",,,3,"0.0343613357075376"
"ENSG00000272636",,"0.0343868461058437",,,3,"0.0343868461058437"
"ENSG00000003056",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000073067",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000111358",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000114790",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000128383",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000149243",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000165474",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000181523",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000198824",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000211445",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000226308",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000242048",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000245954",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000256894",,"0.0344351986072308",,,3,"0.0344351986072308"
"ENSG00000286257",,"0.0344667007242247",,,3,"0.0344667007242247"
"ENSG00000136828","0.0346026344358776",,,,3,"0.0346026344358776"
"ENSG00000138587","0.0346026344358776",,,,3,"0.0346026344358776"
"ENSG00000257815","0.0346026344358776",,,,3,"0.0346026344358776"
"ENSG00000226415","0.0346571779280784",,,,3,"0.0346571779280784"
